"Chain","Date","Block","Hash","From","From_label","To","To_label","Token","Token_symbol","Amount"
"eth","2023-03-17 15:27:23","16848413","0xf1afd9b38c50c037dd41fbf0ce74d893ae873520eeeea5c00c667ee509e7fd49","0x6581a31b012ea7517abe6e4381206b5d1f7cee1d","Fake_Phishing6581_ee1d","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter","0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee","Ether","0.05"
"eth","2023-03-18 10:42:11","16854114","0xed78d4616e62e7d68088ad7157f24855d42a4acbf255ff2a7d1f46e875101a8c","0xbb6edb6d87049e6fcf3c7d66c3bd8a3a499dd5e4","Uniswap V2: KAKI 5","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter","0x1a286cb520366e135001b25826ee29426b95d374","KAKI","754,208.37951212"
"eth","2023-03-21 17:02:23","16877365","0xcf0b3487dc443f1ef92b4fe27ff7f89e07588cdc0e2b37d50adb8158c697cea6","0x098b716b8aaf21512996dc57eb0615e2383e2f96","Lazarus Group: Ronin Bridge Exploiter","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter","0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee","Ether","2"
"eth","2023-03-22 00:46:47","16879656","0xc6e6fe1aaf8f39532914f819626678f36cc1ab25f2a5f7e2d204771145dc617e","0x4e5c564fe3da52c1f88c6a95163a91d0fdb1898f","Fake Phishing","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter","0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee","Ether","0.0090909"
"eth","2023-03-27 21:32:59","16921412","0x3e687c5821d91ba51cef099b07454206d24adabf10114aa82ba0492f4ae362d1","0xc511607bed72d5b1ceec5a6f9bb45807ced3c1de","Uniswap V2: RIB 6","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter","0xb61bdfbf89a7405285450afbe1eba828791003c0","RIB","784,567,746.21301424"
"eth","2023-03-27 21:32:59","16921412","0x85f253623129e820ef963dab6eef16e97b7ea9da0889d9f90a8c403f1ac69086","0xc511607bed72d5b1ceec5a6f9bb45807ced3c1de","Uniswap V2: RIB 6","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter","0xb61bdfbf89a7405285450afbe1eba828791003c0","RIB","1,746,582,782.13065665"
"eth","2023-03-27 21:32:59","16921412","0x3042491e57fd4a09b0835ceca8331bd7770eb4486bc02ed577be2622e5845db1","0xc511607bed72d5b1ceec5a6f9bb45807ced3c1de","Uniswap V2: RIB 6","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter","0xb61bdfbf89a7405285450afbe1eba828791003c0","RIB","719,443,143.95364029"
"eth","2023-03-27 21:29:35","16921396","0x5486855658872371978d9e70abca0a72ec70c2dab9ea5e7f93f32f75dcad8a90","0xc511607bed72d5b1ceec5a6f9bb45807ced3c1de","Uniswap V2: RIB 6","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter","0xb61bdfbf89a7405285450afbe1eba828791003c0","RIB","1,792,008,090.59451408"
"eth","2023-03-27 21:29:35","16921396","0x3ca88117384a0d37b9c954ab6de8751c5421203de0503819caf4947642591dc6","0xc511607bed72d5b1ceec5a6f9bb45807ced3c1de","Uniswap V2: RIB 6","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter","0xb61bdfbf89a7405285450afbe1eba828791003c0","RIB","1,726,038,725.34081812"
"eth","2023-12-03 04:28:59","18703493","0x459eb09e66cbfd343b17ec8dc0e5b01a5d6fd417cb8738ce427f47e83ad19620","0x61a145f9c8dbc6f20c5f14111e8c423759ba90b7","Fake Phishing","0xb48a28b55678f9a202ec7982090ee8092a96fc74","","0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee","Ether","1"
